 	 	0	1	 	 	1
w	wp	0	1	f	w#f	1
w	ws	0	1	f	w#f	1
w	wś	0	1	f	w#f	1
w	wt	0	1	f	w#f	1
wi	wi	0	2	v i	wi#vi	1
wi	wia	0	2	v'	wi#v'	1
wi	wie	0	2	v'	wi#v'	1
wi	wii	0	2	v'	wi#v'	1
wi	wio	0	2	v'	wi#v'	1
wi	wió	0	2	v'	wi#v'	1
wi	wiu	0	2	v'	wi#v'	1
wi	wiy	0	2	v'	wi#v'	1
y	y	0	1	I	y#I	1
z	 z c	1	1	s	z#s	1
z	 z f	1	1	s	z#s	1
z	 z h	1	1	s	z#s	1
z	 z k	1	1	s	z#s	1
z	 z p	1	1	s	z#s	1
z	 z s	1	1	s	z#s	1
z	 z t	1	1	s	z#s	1
z	z	0	1	z	z#z	1
z	z 	0	1	s	z#s	1
z	zc	0	1	s	z#s	1
z	zci	0	1	s'	z#s'	1
z	zcz	0	1	S	z#S	1
z	zć	0	1	s'	z#s'	1
z	zdrz	0	1	Z	z#Z	1
z	zdzi	0	1	z'	z#z'	1
z	zdź	0	1	Z	z#Z	1
z	zdź	0	1	z'	z#z'	1
z	zf	0	1	s	z#s	1
z	zh	0	1	s	z#s	1
z	zk	0	1	s	z#s	1
z	zp	0	1	s	z#s	1
z	zrz	0	1	Z	z#Z	1
z	zs	0	1	s	z#s	1
z	zsi	0	1	s'	z#s'	1
z	zsz	0	1	S	z#S	1
z	zś	0	1	s'	z#s'	1
z	zt	0	1	s	z#s	1
z	ztrz	0	1	S	z#S	1
z	zzi	0	1	z'	z#z'	1
z	zź	0	1	z'	z#z'	1
z	zż	0	1	Z	z#Z	1
zi	zi	0	2	z' i	zi#z'i	1
zi	zia	0	2	z'	zi#z'	1
zi	zie	0	2	z'	zi#z'	1
zi	zii	0	2	z'	zi#z'	1
zi	zio	0	2	z'	zi#z'	1
zi	zió	0	2	z'	zi#z'	1
zi	ziu	0	2	z'	zi#z'	1
zi	ziy	0	2	z'	zi#z'	1
